address,final_price,land_area,area,commune,price_per_area,rooms,sale_date,status
Munksundsgatan 2,14750000,928.0,127.0,"Stureby, Stockholms kommun",116142.0,7.0,2023-10-29,Sold
Flystaslingan 22,6550000,903.0,106.0,"Spånga Flysta, Stockholms kommun",61792.0,5.0,2024-01-06,Available
Stackvägen 32b,10000000,976.0,124.0,"Töjnan, Sollentuna kommun",80645.0,8.0,2025-08-29,Available
Trädgårdsvägen 21,7700000,1302.0,106.0,"Töjnan, Sollentuna kommun",72642.0,6.0,2025-10-12,Available
Poppelvägen 5,9200000,838.0,183.0,"Barkarby, Järfälla kommun",50273.0,5.0,2023-10-23,Sold
Barnhemsvägen 104,6445000,632.0,168.0,"Hässelby - Backlura, Stockholms kommun",38363.0,5.0,2024-05-24,Sold
Arrendevägen 48,9275000,344.0,139.0,"Ursvik, Sundbybergs kommun",66727.0,5.0,2025-12-24,Sold
Björkvägen 5,14500000,1596.0,160.0,"Helenelund, Sollentuna kommun",90625.0,8.0,2024-12-16,Available
Duvvägen 3,8300000,972.0,170.0,"Segeltorp, Huddinge kommun",48824.0,5.0,2023-12-11,Sold
Björkallén 10A,9200000,806.0,150.0,"Trångsund, Huddinge kommun",61333.0,6.0,2025-08-22,Available
Rymdvägen 13,3500000,200.0,92.0,"Skälby, Järfälla kommun",38043.0,4.0,2024-03-25,Sold
Vivstavarvsvägen 224,22250000,1003.0,304.0,"Stureby, Stockholms kommun",73191.0,7.0,2023-02-06,Sold
Alstersvägen 25,13500000,497.0,82.0,"Bromma Nockebyhov, Stockholms kommun",164634.0,8.0,2024-12-28,Sold
Vretvägen 6A,15000000,736.0,159.0,"Bromma Kyrka, Stockholms kommun",94340.0,7.0,2024-10-06,Available
